manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,21278,Heat Pump Dryer,Heat Pump Dryer,PURECINNAMON,PURECINNAMON EXPORT (PVT) LTD,,,,Manager Engineering
,03RD-16L -1,Heat Pump Dryer,Heat Pump Dryer,THE URBAN SPICE,The Urban Spice Shop (Pvt) Ltd,,,,GM
,MY-O03 RD,Heat Pump Dryer,Heat Pump Dryer,FOREST GARDEN,FOREST GARDEN ORGANICS PVT LTD,,,,MD
,21168 - 02/04,OR-FM3015A fiber laser cutting machine with Accessories,OR-FM3015A fiber laser cutting machine with Accessories,TECH MASTERS,Tech Masters,,,,0
,21168 - 2- 02/04,OR-FM3015 fiber laser cutting machine with Accessories,OR-FM3015 fiber laser cutting machine with Accessories,CRS ENG,CRS Engineering (pvt)ltd,,,,PROJECT INCHARGE
,21219 - 21.04/2022,Seed Paddy Cleaner - Mahaweli,Seed Paddy Cleaner - Mahaweli,MAHAWELI AUTHOR,Mahaweli Authority Of Sri Lanka,,,,0
,1111010-473,Seed Paddy Cleaner - Mahaweli,Seed Paddy Cleaner - Mahaweli,MAHAWELI AUTHOR,Mahaweli Authority Of Sri Lanka,,,,0
,1111011-473/2022,Seed Paddy Cleaning Machine,Seed Paddy Cleaning Machine,AGRI - MONARA,Department Of Agriculture.,,,,Manager Purchasing
,21119 - 30/03/2022,Seed Paddy Pre-Cleaner Equipment,Seed Paddy Pre-Cleaner Equipment,ARALIYA SEEDS,Araliya Seeds (Pvt) Ltd,,,,Mr.Tharaka
,RAZORTEK - 20984,Laser Welding Machine 1500 W,Laser Welding Machine 1500 W,MEGA HEAT,MEGA HEATERS (PVT) LTD,,,,PROJECT INCHARGE
